Rank,CCA3,Country/Territory,Capital,Continent,2022 Population,,2020 Population,2020VS1970,2020VS2010,2020VS2015,2015 Population,2015vs2010,2010 Population,2010vs2000,2000 Population,2000vs1990,1990 Population,1990vs1980,1980 Population,1980vs1970,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage
57,TWN,Taiwan,Taipei,Asia,23893394,1.016215371,23821464,1.5925706,1.031987971,1.013156099,23512136,1.018587335,23083083,1.040025356,22194731,1.078137735,20586174,1.137340023,18100281,1.210084123,14957870,36193,660.1662,1.0014,0.3
95,TJK,Tajikistan,Dushanbe,Asia,9952787,1.16761068,9543207,3.188488613,1.25209705,1.119560824,8524063,1.118382336,7621779,1.215013778,6272998,1.157836858,5417860,1.339077328,4045965,1.35180064,2993019,143100,69.5513,1.0208,0.12
22,TZA,Tanzania,Dodoma,Africa,65497748,1.246559364,61704518,4.531035985,1.367851854,1.17436625,52542823,1.164757463,45110527,1.308928576,34463704,1.315106778,26206012,1.357989174,19297659,1.417050002,13618192,945087,69.3034,1.03,0.82
20,THA,Thailand,Bangkok,Asia,71697030,1.019953696,71475664,1.996988354,1.046948177,1.016804568,70294397,1.02964543,68270489,1.082514132,63066603,1.141923206,55228410,1.207501602,45737753,1.277886136,35791728,513120,139.7276,1.0013,0.9
155,TLS,Timor-Leste,Dili,Asia,1341296,1.112358218,1299995,2.346472426,1.194314856,1.078106638,1205813,1.107789168,1088486,1.239225375,878360,1.158624256,758106,1.180438601,642224,1.159205156,554021,14874,90.1772,1.0154,0.02
100,TGO,Togo,Lomé,Africa,8848699,1.184052971,8442580,3.842106724,1.284657072,1.129709795,7473229,1.137156708,6571855,1.312262195,5008035,1.292080361,3875947,1.36567892,2838110,1.291586401,2197383,56785,155.8281,1.0236,0.11
233,TKL,Tokelau,Nukunonu,Oceania,1871,1.286795048,1827,1.065927655,1.336503292,1.2565337,1454,1.063643014,1367,0.820528211,1666,0.998202516,1669,1.01335762,1647,0.960910152,1714,12,155.9167,1.0119,0
197,TON,Tonga,Nuku‘alofa,Oceania,106858,1.006935414,105254,1.217034365,0.980173771,0.991820735,106122,0.988256987,107383,1.046587332,102603,1.039259777,98727,1.02087728,96708,1.118218399,86484,747,143.0495,1.0079,0
153,TTO,Trinidad and Tobago,Port-of-Spain,America,1531044,1.048533157,1518147,1.535203107,1.076474017,1.039700666,1460177,1.035369171,1410296,1.058619445,1332203,1.051862666,1266518,1.122946982,1127852,1.140523213,988890,5130,298.4491,1.0035,0.02
79,TUN,Tunisia,Tunis,Africa,12356117,1.069073652,12161723,2.409500607,1.116259998,1.05225433,11557779,1.060827184,10895063,1.101254928,9893316,1.172190645,8440023,1.28303783,6578156,1.303275109,5047404,163610,75.5218,1.0076,0.15
18,TUR,Turkey,Ankara,Asia,85341241,1.071504536,84135428,2.367278683,1.149464191,1.056364914,79646178,1.088131738,73195345,1.141651779,64113547,1.180203582,54324142,1.232145365,44089069,1.24051325,35540990,783562,108.9145,1.0067,1.07
